School Name,Locality,VCE median study score,Percentage of study scores of 40 and over
Victorian College for the Deaf,MELBOURNE,,
Victorian College of the Arts,SOUTHBANK,33,19.8
Victory Christian College,STRATHDALE,27,1.8
Victory Lutheran College,WEST WODONGA,29,6.1
Viewbank College,VIEWBANK,30,5.3
Virtual School Victoria,THORNBURY,29,3
Wallan Secondary College,WALLAN,23,1
Wangaratta High School,WANGARATTA,26,3.9
Wantirna College,WANTIRNA,27,4.1
Warracknabeal Sec College,WARRACKNABEAL,29,0
Warragul Regional College,WARRAGUL,26,0.3
Warrandyte High School,WARRANDYTE,27,2.3
Warrnambool College,WARRNAMBOOL,26,2.7
Waverley Christian College,WANTIRNA SOUTH,33,13.1
Wedderburn College,WEDDERBURN,30,5.6
Wellington Secondary College,MULGRAVE,29,5.6
Werribee Secondary College,WERRIBEE,30,5.6
Wesley College,MELBOURNE,32,10
Wesley College,GLEN WAVERLEY,30,5.9
Westall Secondary College,CLAYTON SOUTH,27,3.5
Westbourne Grammar School,TRUGANINA,34,15.4
Western Heights Sec College,HAMLYN HEIGHTS,23,2.7
Western Port Sec College,HASTINGS,26,1
Wheelers Hill Sec College,WHEELERS HILL,29,3.9
Whitefriars College,DONVALE,31,5.9
Whittlesea Secondary College,WHITTLESEA,23,1.8
William Angliss Inst of TAFE,MELBOURNE,,
William Ruthven Sec College,RESERVOIR,28,7.5
Williamstown High School,WILLIAMSTOWN,31,10.9
Wodonga Institute of TAFE,WODONGA,,
Wodonga Senior Sec College,WODONGA,23,1.1
Wonthaggi Secondary College,WONTHAGGI,27,4
Woodleigh School,LANGWARRIN SOUTH,33,8.6
Woodmans Hill Secondary College,BALLARAT EAST,24,1
Wycheproof P-12 College,WYCHEPROOF,28,15
Wyndham Central Sec Coll,WERRIBEE,24,2.2
Wyndham Community Centre,WERRIBEE,,
Xavier College,KEW,34,19.2
Yarra Hills Secondary College,MOOROOLBARK,25,1.3
Yarra Valley Grammar School,RINGWOOD,34,21.3
Yarram Secondary College,YARRAM,25,0
Yarrawonga College P-12,YARRAWONGA,28,3.3
Yea High School,YEA,26,5
Yeshivah College,ST KILDA EAST,34,15.9
Yesodei HaTorah College,BRIGHTON,33,0
Yuille Park Community College,DELACOMBE,,
